iter	Accuracy	MultiClass
93	0.9661492202	0.09444188809
94	0.9661800134	0.09432843949
95	0.9662035611	0.09429265789
96	0.9661963157	0.09421419221
97	0.9662180521	0.09415043387
98	0.966212618	0.09407525667
99	0.9661963157	0.09400834295
100	0.9661945043	0.09397059393
101	0.9662053725	0.0938651901
102	0.9661836361	0.09379126364
103	0.9661908816	0.09376476758
104	0.9662144293	0.09367789817
105	0.9662271089	0.09366403994
106	0.9662307316	0.09364197496
107	0.9662705816	0.09358922028
108	0.9662760157	0.09356198693
109	0.966272393	0.09350977811
110	0.9662742044	0.09347443186
111	0.9662905066	0.09345399108
112	0.9662868839	0.09343303246
113	0.9662959407	0.09341724946
114	0.966292318	0.09338394452
115	0.9662850725	0.0933544353
116	0.966272393	0.09332972158
117	0.9662850725	0.09330189918
118	0.9662905066	0.09328592125
119	0.966292318	0.09323576394
120	0.9662959407	0.09320193009
121	0.9663013748	0.093181113
122	0.9663068089	0.09316035775
123	0.9663267339	0.09312738225
124	0.9663176771	0.09311197019
125	0.9663303567	0.09310209161
126	0.9663303567	0.09305030183
127	0.9663376021	0.09303545996
128	0.9663285453	0.09300762127
129	0.9663484703	0.09296875925
130	0.9663430362	0.09293310588
131	0.9663611499	0.09291000351
132	0.966352093	0.09289250591
133	0.9663303567	0.09287500836
134	0.9663376021	0.09285264046
135	0.966352093	0.09282260124
136	0.9663611499	0.09279590051
137	0.9663539044	0.09278391979
138	0.9663593385	0.09269654091
139	0.9663466589	0.09264709037
140	0.9663430362	0.09260235383
141	0.9663557158	0.0925741327
142	0.9663539044	0.09255876128
143	0.9663629612	0.09253203449
144	0.9663647726	0.09251178792
145	0.9663593385	0.09244173636
146	0.9663557158	0.09243477567
147	0.9663466589	0.09241605006
148	0.9663448476	0.09240839628
149	0.9663539044	0.09234786281
150	0.966352093	0.09230173628
151	0.9663593385	0.09229420778
152	0.9663593385	0.09222842312
153	0.9663557158	0.0922078198
154	0.9663557158	0.09219892845
155	0.9663629612	0.09218625061
156	0.9663484703	0.09217093476
157	0.9663575271	0.09215931898
158	0.9663575271	0.09214848274
159	0.9663629612	0.09209981724
160	0.9663702067	0.0920881541
161	0.9663647726	0.09207607991
162	0.9663792635	0.09204176796
163	0.966372018	0.09202998625
164	0.9663846976	0.09200693946
165	0.9663973771	0.09198428921
166	0.9663937544	0.09196625982
167	0.9664028112	0.09194372676
168	0.9664281703	0.09192131457
169	0.9664173022	0.0919074811
170	0.9664299817	0.09189531836
171	0.9664317931	0.09186767912
172	0.9664480954	0.09185329468
173	0.9664390385	0.0917988643
174	0.9664426613	0.09178906909
175	0.966466209	0.09177608321
176	0.9664589635	0.09176153555
177	0.966466209	0.09174604653
178	0.9664625863	0.09173882179
179	0.9664589635	0.09170727529
180	0.9664734545	0.091684899
181	0.9664680204	0.09164393768
182	0.9664643976	0.09158320387
183	0.9664734545	0.09156598373
184	0.9664843226	0.09154393804
185	0.9664915681	0.09153282926
186	0.9664843226	0.09152523371
187	0.9664951908	0.09150843773
188	0.966506059	0.09149636562
189	0.9665114931	0.09148390199
190	0.9664970022	0.09145755702
191	0.9664988136	0.09144865094
192	0.9665024363	0.09144058702
193	0.9665169272	0.09141033132
194	0.9665404749	0.09139962574
195	0.9665495318	0.09138780484
196	0.9665676454	0.09137274149
197	0.9665585886	0.09135770761
198	0.9665676454	0.09132838514
199	0.9665748909	0.09130558438
200	0.9665748909	0.09126550187
201	0.966580325	0.09121630044
202	0.9665930045	0.09120186354
203	0.9665966272	0.09119457147
204	0.9665785136	0.09117589605
205	0.9665893818	0.09116434015
206	0.9665893818	0.09115307839
207	0.9665930045	0.09114237562
208	0.9665911931	0.09113103301
209	0.96660025	0.09112503765
210	0.9665948159	0.09111439327
211	0.9665948159	0.09110456387
212	0.9666129295	0.09109259445
213	0.9666147409	0.09108281735
214	0.9666219863	0.09106545255
215	0.9666129295	0.0910589591
216	0.9666237977	0.09104823696
217	0.9666473454	0.09103258969
218	0.9666437227	0.09101083801
219	0.9666382886	0.0910031244
220	0.9666473454	0.09098521316
221	0.9666382886	0.09096472507
222	0.9666582136	0.09094280378
223	0.9666690818	0.09093257633
224	0.966660025	0.09091818863
225	0.9666745159	0.09089791063
226	0.9666871955	0.09088977363
227	0.9666926296	0.09087461487
228	0.9666926296	0.09085946067
229	0.9667034977	0.09084262236
230	0.9667071205	0.09083450329
231	0.966699875	0.09082541611
232	0.9667071205	0.09079891994
233	0.9667143659	0.09078338543
234	0.9667234228	0.09077613969
235	0.9667306682	0.09076941559
236	0.966739725	0.09076319042
237	0.9667306682	0.09075001556
238	0.9667252341	0.09074114569
239	0.9667234228	0.09069743566
240	0.9667324796	0.09068629374
241	0.9667433478	0.09066602183
242	0.9667505932	0.09066074047
243	0.9667433478	0.09065490687
244	0.9667777637	0.09063882922
245	0.9667995001	0.09062982487
246	0.9667976887	0.09062048639
247	0.9667958773	0.09060992779
248	0.9667868205	0.09059917055
249	0.966794066	0.09059161436
250	0.966794066	0.09058263529
251	0.966794066	0.09057144146
252	0.9667995001	0.09056413522
253	0.9668103683	0.09055014653
254	0.9668158023	0.0905340091
255	0.966813991	0.09052699714
256	0.9668321046	0.09051450441
257	0.9668321046	0.09049728441
258	0.9668248592	0.09048843522
259	0.9668375387	0.09047632667
260	0.9668447842	0.09046167107
261	0.9668375387	0.09044569815
262	0.9668411614	0.09043764015
263	0.9668429728	0.09042881529
264	0.9668683319	0.0904163361
265	0.9668574637	0.09039589155
266	0.9668647092	0.09038450482
267	0.9668792001	0.09037955114
268	0.9668755774	0.09037340724
269	0.9668647092	0.09036513153
270	0.9668755774	0.09035622049
271	0.9668792001	0.09034699956
272	0.9669009365	0.09033625175
273	0.9668900683	0.09032714604
274	0.9668900683	0.09031583242
275	0.9669081819	0.09030307104
276	0.966913616	0.09029524367
277	0.9669063706	0.09028350051
278	0.9669154274	0.09027620872
279	0.9669299183	0.09026542023
280	0.9669552774	0.09025287916
281	0.966948032	0.09024236351
282	0.966953466	0.09023090477
283	0.9669552774	0.09022266354
284	0.9669589001	0.09021661378
285	0.9669589001	0.09020446263
286	0.9669842592	0.0901951984
287	0.9669842592	0.09018432734
288	0.9670005615	0.09017807237
289	0.9670005615	0.09016826596
290	0.9670023729	0.09016099844
291	0.9669933161	0.09015193655
292	0.9670132411	0.09014207013
293	0.9670204865	0.09013240024
294	0.9670168638	0.09012364176
295	0.9670259206	0.09011666617
296	0.9670349774	0.09010385148
297	0.9670440343	0.09008442469
298	0.9670422229	0.09007310806
299	0.9670530911	0.09006768869
300	0.9670386002	0.09005688448
301	0.9670621479	0.09004409118
302	0.9670567138	0.09003951679
303	0.9670567138	0.09003365078
304	0.9670639593	0.09002507842
305	0.9670585252	0.09001727629
306	0.9670567138	0.08998213963
307	0.9670657706	0.08997025465
308	0.9670567138	0.08995703792
309	0.9670657706	0.0899471218
310	0.9670838843	0.08993041172
311	0.9670893184	0.08991666569
312	0.9670983752	0.0899077033
313	0.9670893184	0.08989452375
314	0.967087507	0.08987995966
315	0.9670983752	0.08987241868
316	0.9671146775	0.08986628332
317	0.9671201116	0.08985744492
318	0.9671146775	0.08985090747
319	0.9671291684	0.08984132218
320	0.9671309798	0.08981798258
321	0.967147282	0.08980812405
322	0.9671563389	0.08980158747
323	0.9671490934	0.08978974503
324	0.967147282	0.08977889301
325	0.9671454707	0.08977089338
326	0.9671436593	0.08975006218
327	0.9671400366	0.08973758806
328	0.9671327911	0.08972899439
329	0.9671653957	0.08971745238
330	0.9671762639	0.08971120197
331	0.9671889434	0.0896998613
332	0.9671835093	0.08969333425
333	0.9671835093	0.08968395015
334	0.9671907548	0.08967960933
335	0.9671889434	0.08967015319
336	0.9671835093	0.08966133551
337	0.9671925662	0.08964785875
338	0.9671907548	0.08963228397
339	0.9672052457	0.08961991055
340	0.9672143025	0.08960968069
341	0.967221548	0.08960291238
342	0.9672324162	0.08959685065
343	0.9672360389	0.08958566589
344	0.967241473	0.08958105224
345	0.9672523412	0.08957572024
346	0.9672595866	0.08957049393
347	0.9672668321	0.08956266435
348	0.9672758889	0.08955321455
349	0.9672704548	0.08954533373
350	0.9672740776	0.08953620998
351	0.9672849457	0.08953151464
352	0.9672903798	0.08952307605
353	0.9672885685	0.08949863104
354	0.9672903798	0.0894898725
355	0.9672976253	0.08947986548
356	0.9673121162	0.08946710788
357	0.9673084935	0.08945588757
358	0.9673048708	0.0894515877
359	0.9672994367	0.08944322327
360	0.9673139276	0.08942509055
361	0.9673175503	0.08941609546
362	0.9673175503	0.08940670944
363	0.9673193617	0.08939638353
364	0.9673175503	0.08938725483
365	0.9673175503	0.08936947738
366	0.9673193617	0.08935597472
367	0.9673247958	0.0893418048
368	0.9673229844	0.08932911451
369	0.9673501549	0.08932080729
370	0.9673447208	0.08931167786
371	0.9673700799	0.08929571112
372	0.9673773253	0.08928818883
373	0.967395439	0.08928041702
374	0.9673990617	0.0892689862
375	0.9674081185	0.08925915049
376	0.9674099299	0.0892555459
377	0.9674044958	0.08924662686
378	0.967395439	0.08923798398
379	0.9674026844	0.0892296796
380	0.9674099299	0.08921289137
381	0.9674044958	0.08920294173
382	0.9674026844	0.08919689231
383	0.9674044958	0.08918911078
384	0.9674026844	0.08918167007
385	0.9674081185	0.089174364
386	0.9674008731	0.08915729706
387	0.9674244208	0.08914468862
388	0.9674207981	0.08913688251
389	0.9674389117	0.08912876448
390	0.9674371004	0.0891198752
391	0.9674443458	0.08910969166
392	0.967455214	0.08909684195
393	0.9674642708	0.089092116
394	0.9674860072	0.08908213029
395	0.967475139	0.08907415952
396	0.9674697049	0.08906645443
397	0.9674697049	0.08905366221
398	0.9674805731	0.08904328654
399	0.9674860072	0.0890379713
400	0.9675095549	0.08903078269
401	0.9675240459	0.08902019416
402	0.9675204231	0.08901426312
403	0.9675059322	0.089002754
404	0.9675331027	0.08898889301
405	0.9675439709	0.08897426412
406	0.9675349141	0.08896382766
407	0.9675385368	0.08895353417
408	0.9675403481	0.08894927504
409	0.9675566504	0.08894411319
410	0.9675638959	0.08893519501
411	0.9675783868	0.0889266236
412	0.9675838209	0.08891541311
413	0.9675874436	0.08889026639
414	0.9675910664	0.08888394963
415	0.9676001232	0.08887106384
416	0.9675965004	0.08886516239
417	0.9676073686	0.08885015159
418	0.9675910664	0.08883927029
419	0.9675838209	0.08883048522
420	0.967589255	0.0888182144
421	0.9676001232	0.08881066262
422	0.9675983118	0.08880740577
423	0.9676001232	0.08879526998
424	0.9676001232	0.08878154994
425	0.9676128027	0.0887697623
426	0.9676109914	0.08876514505
427	0.9676164255	0.08876227231
428	0.9676236709	0.08875515216
429	0.9676381618	0.08874317822
430	0.9676399732	0.08873214602
431	0.9676508414	0.08872450515
432	0.9676508414	0.08871585712
433	0.9676635209	0.0887063
434	0.9676762005	0.08870016091
435	0.9676671437	0.08869187489
436	0.9676743891	0.08867534885
437	0.9676653323	0.08866303839
438	0.9676653323	0.08865163477
439	0.9676653323	0.08864371963
440	0.9676707664	0.08863636208
441	0.9676762005	0.0886265133
442	0.9676743891	0.08862130823
443	0.967668955	0.08861237565
444	0.9676762005	0.0886071097
445	0.9676798232	0.08860079453
446	0.9676925028	0.08859233197
447	0.9676870687	0.08857995923
448	0.9676943141	0.0885708494
449	0.9676979369	0.08855929236
450	0.9676943141	0.088553416
451	0.9676798232	0.0885480296
452	0.96768888	0.08854192152
453	0.9676943141	0.08852678297
454	0.9677178619	0.08851099172
455	0.9677214846	0.08850332803
456	0.9677160505	0.08849520852
457	0.9677178619	0.08848380507
458	0.9677124278	0.08847486101
459	0.967723296	0.08847134344
460	0.9677251073	0.08846174391
461	0.9677305414	0.08845384288
462	0.9677287301	0.08844973623
463	0.9677269187	0.08844041794
464	0.9677359755	0.08843569197
465	0.9677504664	0.08842401493
466	0.9677540892	0.08841437142
467	0.9677486551	0.08840642721
468	0.9677486551	0.08840324013
469	0.9677559005	0.088396164
470	0.9677504664	0.08838805813
471	0.967743221	0.0883777354
472	0.9677486551	0.08836591147
473	0.9677613346	0.08835515907
474	0.9677577119	0.08834717781
475	0.9677685801	0.08833781299
476	0.9677722028	0.08832573991
477	0.9677740142	0.08831920036
478	0.9677649573	0.08831011236
479	0.9677740142	0.08830424854
480	0.9677740142	0.08830087757
481	0.9677613346	0.08829203775
482	0.967763146	0.08828542897
483	0.9677776369	0.08827951505
484	0.9677921278	0.0882731805
485	0.9678102415	0.0882655763
486	0.9678174869	0.0882571754
487	0.9678066187	0.08821771789
488	0.9678102415	0.08821274092
489	0.9678048074	0.08819872989
490	0.9678138642	0.08819214353
491	0.9678102415	0.08818707714
492	0.9678192983	0.08818215927
493	0.9678192983	0.08817474724
494	0.9678138642	0.08816542298
495	0.9678247324	0.08815597454
496	0.9678211096	0.08814667464
497	0.9678283551	0.08814007229
498	0.9678319778	0.08813618402
499	0.9678374119	0.08812816249
